Estimator: PolynomialKernel
Total number of parameters: 12000
Time started: 20240613-030517
Validation parameters: [501, 501, 501] (training, validation, jump)
Validation type: expanding
Task: Forecast
Normalisation type for inputs: MinMax
Normalisation type for targets: NormStd
Error type: meansquare
MinMax range for inputs: (0, 1) 
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 52.48901844024658 seconds.
Estimated time to finish is 6298.68221282959 seconds.
--------------------------------------------------------------------------------
((2, 20, 0.1, 0), 1.5448381710047667)
((2, 20, 0.01, 0), 1.5449674195906078)
((2, 21, 1e-15, 0), 1.573574881154786)
((2, 21, 1e-13, 0), 1.573574881154786)
((2, 21, 1e-14, 0), 1.573574881154786)
((2, 21, 1e-11, 0), 1.5735748811550496)
((2, 21, 1e-12, 0), 1.5735748811547754)
((2, 21, 1e-09, 0), 1.5735748811532213)
((2, 21, 1e-08, 0), 1.57357488114041)
((2, 21, 1e-06, 0), 1.57357487970921)
((2, 21, 1e-10, 0), 1.5735748811547619)
((2, 21, 1e-07, 0), 1.5735748810104346)
((2, 21, 1e-05, 0), 1.5735748667016267)
((2, 21, 0.01, 0), 1.5735604315410137)
((2, 21, 0.0001, 0), 1.5735747366271688)
((2, 21, 0.001, 0), 1.5735734359046933)
((2, 21, 0.1, 0), 1.573430672451005)
((2, 22, 1e-15, 0), 1.6000502593860895)
((2, 22, 1e-14, 0), 1.6000502593860895)
((2, 22, 1e-13, 0), 1.6000502593860895)
((2, 22, 1e-11, 0), 1.6000502593863686)
((2, 22, 1e-12, 0), 1.6000502593864208)
((2, 22, 1e-10, 0), 1.6000502593861565)
((2, 22, 1e-08, 0), 1.6000502593718042)
((2, 22, 1e-09, 0), 1.60005025938475)
((2, 22, 1e-07, 0), 1.6000502592407724)
((2, 22, 1e-06, 0), 1.600050257932478)
((2, 22, 0.0001, 0), 1.6000501140060475)
((2, 22, 1e-05, 0), 1.6000502448483194)
((2, 22, 0.001, 0), 1.6000488056025965)
((2, 22, 0.01, 0), 1.6000357238504912)
((2, 22, 0.1, 0), 1.5999051334591994)
((2, 23, 1e-15, 0), 1.629244841294834)
((2, 23, 1e-14, 0), 1.629244841294834)
((2, 23, 1e-13, 0), 1.629244841294834)
((2, 23, 1e-12, 0), 1.6292448412950171)
((2, 23, 1e-11, 0), 1.6292448412952012)
((2, 23, 1e-08, 0), 1.6292448412801228)
((2, 23, 1e-09, 0), 1.6292448412934692)
((2, 23, 1e-10, 0), 1.6292448412949294)
((2, 23, 1e-07, 0), 1.6292448411460032)
((2, 23, 0.0001, 0), 1.629244692161197)
((2, 23, 1e-06, 0), 1.6292448398035326)
((2, 23, 1e-05, 0), 1.62924482638167)
((2, 23, 0.01, 0), 1.6292299300180768)
((2, 23, 0.001, 0), 1.6292433499785381)
((2, 23, 0.1, 0), 1.6290959166783772)
((2, 24, 1e-15, 0), 1.6560633531877869)
((2, 24, 1e-14, 0), 1.6560633531877869)
((2, 24, 1e-13, 0), 1.6560633531877869)
((2, 24, 1e-12, 0), 1.6560633531878945)
((2, 24, 1e-11, 0), 1.656063353187634)
((2, 24, 1e-09, 0), 1.6560633531862308)
((2, 24, 1e-10, 0), 1.6560633531875624)
((2, 24, 1e-08, 0), 1.6560633531722597)
((2, 24, 1e-07, 0), 1.6560633530357571)
((2, 24, 1e-06, 0), 1.6560633516671188)
((2, 24, 1e-05, 0), 1.6560633379814846)
((2, 24, 0.0001, 0), 1.656063201124563)
((2, 24, 0.001, 0), 1.6560618325710093)
((2, 24, 0.01, 0), 1.6560481486074718)
((2, 24, 0.1, 0), 1.6559114656639717)
((2, 25, 1e-15, 0), 1.6829014812510532)
((2, 25, 1e-14, 0), 1.6829014812510532)
((2, 25, 1e-13, 0), 1.6829014812510532)
((2, 25, 1e-11, 0), 1.6829014812508163)
((2, 25, 1e-12, 0), 1.6829014812512564)
((2, 25, 1e-10, 0), 1.6829014812505942)
((2, 25, 1e-09, 0), 1.6829014812494727)
((2, 25, 1e-08, 0), 1.682901481235708)
((2, 25, 1e-07, 0), 1.6829014810960157)
((2, 25, 1e-06, 0), 1.682901479698804)
((2, 25, 0.0001, 0), 1.682901326016733)
((2, 25, 0.001, 0), 1.682899928919523)
((2, 25, 0.01, 0), 1.682885959302936)
((2, 25, 0.1, 0), 1.6827463980186121)
((2, 25, 1e-05, 0), 1.682901465727507)
((2, 26, 1e-15, 0), 1.7075018330027363)
((2, 26, 1e-14, 0), 1.7075018330027363)
((2, 26, 1e-13, 0), 1.7075018330027363)
((2, 26, 1e-12, 0), 1.7075018330025131)
((2, 26, 1e-11, 0), 1.7075018330023801)
((2, 26, 1e-10, 0), 1.7075018330022966)
((2, 26, 1e-09, 0), 1.7075018330008747)
((2, 26, 1e-08, 0), 1.7075018329868876)
((2, 26, 1e-07, 0), 1.7075018328468208)
((2, 26, 1e-06, 0), 1.7075018314454535)
((2, 26, 1e-05, 0), 1.7075018174346765)
((2, 26, 0.001, 0), 1.7075002762517593)
((2, 26, 0.1, 0), 1.707346288356817)
