Estimator: NGRC
Total number of parameters: 480
Time started: 20240615-143133
Validation parameters: [2000, 500, 100] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: None
Normalisation type for targets: None
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 0.03269457817077637 seconds.
Estimated time to finish is 7.846698760986328 seconds.
--------------------------------------------------------------------------------
((5, 5, 1e-08, 0, True), nan)
((5, 5, 1e-06, 0, True), nan)
((5, 5, 1e-09, 0, True), nan)
((6, 4, 1e-14, 0, True), nan)
((6, 4, 1e-13, 0, True), nan)
((5, 5, 1e-07, 0, True), nan)
((7, 2, 1e-10, 0, True), nan)
((5, 5, 1e-05, 0, True), nan)
((6, 4, 1e-12, 0, True), nan)
((6, 4, 1e-10, 0, True), nan)
((6, 4, 1e-09, 0, True), nan)
((7, 2, 1e-09, 0, True), nan)
((5, 5, 1e-12, 0, True), nan)
((6, 4, 1e-15, 0, True), nan)
((7, 2, 1e-08, 0, True), nan)
((7, 2, 1e-07, 0, True), nan)
((5, 5, 0.0001, 0, True), nan)
((7, 2, 1e-06, 0, True), nan)
((7, 2, 1e-05, 0, True), nan)
((7, 2, 0.0001, 0, True), nan)
((5, 5, 0.01, 0, True), nan)
((7, 2, 0.001, 0, True), nan)
((7, 2, 0.01, 0, True), nan)
((6, 4, 1e-08, 0, True), nan)
((7, 2, 0.1, 0, True), nan)
((6, 4, 1e-07, 0, True), nan)
((6, 4, 1e-06, 0, True), nan)
((6, 4, 1e-05, 0, True), nan)
((6, 4, 0.01, 0, True), 0.07669406950882747)
((6, 4, 0.0001, 0, True), nan)
((6, 4, 0.001, 0, True), nan)
((6, 4, 0.1, 0, True), nan)
((6, 4, 1e-11, 0, True), nan)
((7, 3, 1e-15, 0, True), nan)
((7, 3, 1e-12, 0, True), nan)
((5, 5, 0.1, 0, True), 0.091514822326971)
((7, 3, 1e-13, 0, True), nan)
((7, 3, 1e-11, 0, True), nan)
((7, 3, 1e-09, 0, True), nan)
((5, 5, 0.001, 0, True), 0.11380114470206473)
((7, 3, 1e-07, 0, True), nan)
((7, 3, 1e-08, 0, True), nan)
((7, 3, 1e-06, 0, True), nan)
((7, 3, 1e-05, 0, True), nan)
((7, 3, 0.0001, 0, True), nan)
((7, 3, 0.001, 0, True), nan)
((7, 3, 0.01, 0, True), 0.05981377790047465)
((7, 3, 1e-10, 0, True), nan)
((7, 3, 0.1, 0, True), 0.36882585592107486)
((7, 3, 1e-14, 0, True), nan)
((8, 2, 1e-14, 0, True), nan)
((8, 2, 1e-13, 0, True), nan)
((8, 2, 1e-12, 0, True), nan)
((8, 2, 1e-15, 0, True), nan)
((8, 2, 1e-11, 0, True), nan)
((8, 2, 1e-10, 0, True), nan)
((8, 2, 1e-09, 0, True), nan)
((8, 2, 1e-08, 0, True), nan)
((8, 2, 1e-07, 0, True), nan)
((8, 2, 1e-06, 0, True), nan)
((8, 2, 1e-05, 0, True), nan)
((8, 2, 0.0001, 0, True), nan)
((8, 2, 0.001, 0, True), nan)
((8, 2, 0.01, 0, True), nan)
((8, 2, 0.1, 0, True), nan)
((7, 4, 1e-14, 0, True), nan)
((7, 4, 1e-13, 0, True), nan)
((7, 4, 1e-12, 0, True), nan)
((7, 4, 1e-11, 0, True), nan)
((7, 4, 1e-15, 0, True), nan)
((7, 4, 0.01, 0, True), 0.2525343374440262)
((7, 4, 0.001, 0, True), nan)
((7, 4, 1e-05, 0, True), nan)
((7, 4, 0.0001, 0, True), nan)
((7, 4, 1e-08, 0, True), nan)
((7, 4, 0.1, 0, True), 0.061128496697766745)
((7, 4, 1e-07, 0, True), nan)
((7, 4, 1e-06, 0, True), nan)
((8, 3, 1e-15, 0, True), nan)
((8, 3, 1e-14, 0, True), nan)
((7, 4, 1e-10, 0, True), nan)
((7, 4, 1e-09, 0, True), nan)
((8, 3, 1e-12, 0, True), nan)
((8, 3, 1e-13, 0, True), nan)
((8, 3, 1e-11, 0, True), nan)
((6, 5, 1e-12, 0, True), nan)
((6, 5, 1e-10, 0, True), nan)
((6, 5, 0.0001, 0, True), nan)
((6, 5, 1e-14, 0, True), nan)
((6, 5, 1e-11, 0, True), nan)
((6, 5, 1e-15, 0, True), nan)
((6, 5, 0.001, 0, True), nan)
((6, 5, 1e-09, 0, True), nan)
((6, 5, 1e-05, 0, True), nan)
((6, 5, 1e-08, 0, True), nan)
((6, 5, 1e-06, 0, True), nan)
((6, 5, 1e-07, 0, True), nan)
((6, 5, 1e-13, 0, True), nan)
((6, 5, 0.1, 0, True), 0.09720718582972669)
((8, 3, 1e-10, 0, True), nan)
((6, 5, 0.01, 0, True), nan)
((8, 3, 1e-09, 0, True), nan)
((8, 3, 1e-07, 0, True), nan)
((8, 3, 1e-08, 0, True), nan)
((8, 3, 1e-05, 0, True), nan)
((8, 3, 0.001, 0, True), nan)
((8, 3, 0.0001, 0, True), nan)
((8, 3, 0.01, 0, True), 0.07671883398812641)
((8, 3, 1e-06, 0, True), nan)
((8, 3, 0.1, 0, True), 0.0615658195823504)
((9, 2, 1e-15, 0, True), nan)
((9, 2, 1e-14, 0, True), nan)
((9, 2, 1e-13, 0, True), nan)
((9, 2, 1e-12, 0, True), nan)
((9, 2, 1e-11, 0, True), nan)
((9, 2, 1e-10, 0, True), nan)
((9, 2, 1e-09, 0, True), nan)
((9, 2, 1e-08, 0, True), nan)
((9, 2, 1e-07, 0, True), nan)
((9, 2, 1e-06, 0, True), nan)
((9, 2, 1e-05, 0, True), nan)
((9, 2, 0.0001, 0, True), nan)
((9, 2, 0.001, 0, True), nan)
((9, 2, 0.01, 0, True), nan)
((9, 2, 0.1, 0, True), 0.11250290293200742)
((9, 3, 1e-14, 0, True), nan)
((9, 3, 1e-15, 0, True), nan)
((9, 3, 1e-13, 0, True), nan)
((9, 3, 1e-12, 0, True), nan)
((9, 3, 1e-11, 0, True), nan)
((8, 4, 1e-11, 0, True), nan)
((8, 4, 1e-14, 0, True), nan)
((8, 4, 1e-15, 0, True), nan)
((8, 4, 1e-13, 0, True), nan)
((8, 4, 1e-05, 0, True), nan)
((8, 4, 1e-12, 0, True), nan)
((8, 4, 0.001, 0, True), nan)
((8, 4, 1e-07, 0, True), nan)
((8, 4, 1e-08, 0, True), nan)
((8, 4, 0.0001, 0, True), nan)
((8, 4, 1e-09, 0, True), nan)
((8, 4, 0.01, 0, True), nan)
((8, 4, 1e-06, 0, True), nan)
((8, 4, 1e-10, 0, True), nan)
((8, 4, 0.1, 0, True), 0.05648825235845952)
((9, 3, 1e-10, 0, True), nan)
((9, 3, 1e-08, 0, True), nan)
((9, 3, 1e-09, 0, True), nan)
((9, 3, 1e-07, 0, True), nan)
((9, 3, 1e-06, 0, True), nan)
((9, 3, 1e-05, 0, True), nan)
((9, 3, 0.0001, 0, True), nan)
((9, 3, 0.001, 0, True), nan)
((9, 3, 0.01, 0, True), nan)
((9, 3, 0.1, 0, True), 0.05874280984253185)
((7, 5, 1e-10, 0, True), nan)
((7, 5, 1e-15, 0, True), nan)
((7, 5, 1e-09, 0, True), nan)
((7, 5, 1e-12, 0, True), nan)
((7, 5, 1e-08, 0, True), nan)
((7, 5, 0.0001, 0, True), nan)
((7, 5, 1e-13, 0, True), nan)
((7, 5, 1e-05, 0, True), nan)
((7, 5, 1e-06, 0, True), nan)
((7, 5, 1e-07, 0, True), nan)
((7, 5, 0.001, 0, True), nan)
((7, 5, 0.01, 0, True), nan)
((7, 5, 1e-14, 0, True), nan)
((7, 5, 1e-11, 0, True), nan)
((7, 5, 0.1, 0, True), 0.10279596377412625)
((9, 4, 1e-15, 0, True), nan)
((9, 4, 1e-11, 0, True), nan)
((9, 4, 1e-13, 0, True), nan)
((9, 4, 1e-09, 0, True), nan)
((9, 4, 1e-06, 0, True), nan)
((9, 4, 1e-12, 0, True), nan)
((9, 4, 1e-10, 0, True), nan)
((9, 4, 1e-08, 0, True), nan)
((9, 4, 1e-07, 0, True), nan)
((9, 4, 0.0001, 0, True), nan)
((9, 4, 0.1, 0, True), nan)
((9, 4, 0.001, 0, True), nan)
((9, 4, 1e-05, 0, True), nan)
((9, 4, 0.01, 0, True), nan)
((9, 4, 1e-14, 0, True), nan)
((8, 5, 1e-08, 0, True), nan)
((8, 5, 0.01, 0, True), nan)
((8, 5, 1e-14, 0, True), nan)
((8, 5, 0.0001, 0, True), nan)
((8, 5, 1e-15, 0, True), nan)
((8, 5, 0.1, 0, True), nan)
((8, 5, 1e-12, 0, True), nan)
((8, 5, 1e-13, 0, True), nan)
((8, 5, 1e-07, 0, True), nan)
((8, 5, 1e-06, 0, True), nan)
((8, 5, 1e-11, 0, True), nan)
((8, 5, 1e-05, 0, True), nan)
((8, 5, 0.001, 0, True), nan)
((8, 5, 1e-10, 0, True), nan)
((8, 5, 1e-09, 0, True), nan)
((9, 5, 1e-14, 0, True), nan)
((9, 5, 0.001, 0, True), nan)
((9, 5, 1e-15, 0, True), nan)
