Estimator: Volterra
Total number of parameters: 1215
Time started: 20240613-083756
Validation parameters: [2500, 500, 500] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: ScaleL2Shift
Normalisation type for targets: None
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 22.753965377807617 seconds.
Estimated time to finish is 273.0475845336914 seconds.
--------------------------------------------------------------------------------
((0.3, 0.1, 1e-09, 100), 0.12054784090680751)
((0.3, 0.1, 1e-05, 100), 86.02101751530775)
((0.3, 0.1, 0.01, 100), 91.49967843539403)
((0.3, 0.1, 1e-11, 100), 0.00786528649463023)
((0.2, 0.9, 0.01, 100), 76.83224099180504)
((0.3, 0.1, 0.0001, 100), 107.05480192445495)
((0.3, 0.1, 1e-08, 100), 1.2743604530970916)
((0.3, 0.1, 1e-13, 100), 0.044936988406349555)
((0.3, 0.2, 1e-11, 100), 0.00125458861188466)
((0.3, 0.1, 1e-10, 100), 0.0315232699452288)
((0.3, 0.2, 1e-10, 100), 0.0017548382825672358)
((0.2, 0.9, 1e-06, 100), 1.8819860681569704)
((0.3, 0.1, 1e-06, 100), 40.06698964443883)
((0.3, 0.2, 1e-05, 100), 46.26170131643853)
((0.2, 0.9, 0.1, 100), 102.87610763854377)
((0.2, 0.9, 0.001, 100), 58.31752360369322)
((0.3, 0.1, 1e-12, 100), 0.00045846756495249445)
((0.2, 0.9, 1e-08, 100), 0.022853902790542054)
((0.3, 0.2, 1e-13, 100), 7.420178216769662)
((0.3, 0.2, 1e-12, 100), 0.013848395508397953)
((0.3, 0.1, 1e-07, 100), 33.25092674838314)
((0.3, 0.2, 0.001, 100), 79.77828176598095)
((0.3, 0.1, 1e-14, 100), 131.31441773719706)
((0.3, 0.2, 0.0001, 100), 84.10165146194436)
((0.3, 0.2, 1e-06, 100), 25.288108322585547)
((0.3, 0.2, 0.01, 100), 105.51753768559297)
((0.2, 0.9, 1e-14, 100), 4.518730520802076e+22)
((0.3, 0.2, 1e-09, 100), 0.026241484417217256)
((0.3, 0.2, 1e-07, 100), 0.24131736062617412)
((0.3, 0.2, 1e-08, 100), 0.05976918675423027)
((0.3, 0.2, 1e-15, 100), 5.019448534574899e+26)
((0.3, 0.2, 0.1, 100), 94.47015051986189)
((0.3, 0.1, 1e-15, 100), 2.8958946812040884e+24)
((0.3, 0.2, 1e-14, 100), 105.08137703018039)
((0.3, 0.3, 1e-15, 100), 2.195695636463682e+22)
((0.3, 0.3, 1e-14, 100), 3.6852427314619258e+22)
((0.3, 0.3, 1e-13, 100), 20.400437680390304)
((0.3, 0.3, 1e-10, 100), 7.837419765021702e-06)
((0.3, 0.3, 1e-11, 100), 0.0017973979902040304)
((0.3, 0.3, 1e-12, 100), 0.006606711526075527)
((0.3, 0.3, 1e-09, 100), 0.003659754712474924)
((0.3, 0.3, 0.01, 100), 64.16367576261358)
((0.3, 0.3, 1e-08, 100), 0.054989215127933144)
((0.3, 0.3, 0.001, 100), 51.83677561383557)
((0.3, 0.3, 0.1, 100), 96.59255210330718)
((0.3, 0.3, 0.0001, 100), 49.24461131657207)
((0.3, 0.3, 1e-05, 100), 49.41530907698886)
((0.3, 0.3, 1e-06, 100), 1.231130750582978)
((0.3, 0.3, 1e-07, 100), 0.16061149323508753)
((0.3, 0.4, 1e-10, 100), 0.0008252026546321823)
((0.3, 0.4, 1e-13, 100), 22.310457207739706)
((0.3, 0.4, 1e-12, 100), 3.9232243891251803)
((0.3, 0.4, 1e-09, 100), 0.0001102840487849942)
((0.3, 0.4, 1e-08, 100), 0.01955679858077247)
((0.3, 0.4, 0.0001, 100), 53.283871363605364)
((0.3, 0.4, 1e-07, 100), 0.1809592686589393)
((0.3, 0.4, 1e-06, 100), 0.6009003570829231)
((0.3, 0.5, 1e-13, 100), 15.942997736381196)
((0.3, 0.4, 0.1, 100), 102.11718460970648)
((0.3, 0.4, 1e-05, 100), 8.308085538435474)
((0.3, 0.6, 1e-11, 100), 0.07401059128354176)
((0.3, 0.4, 0.01, 100), 55.97619401438355)
((0.3, 0.4, 1e-11, 100), 0.06970468882659894)
((0.3, 0.5, 0.0001, 100), 51.520513421706696)
((0.3, 0.6, 1e-12, 100), 0.9261387306310923)
((0.3, 0.4, 0.001, 100), 42.93890038941427)
((0.3, 0.5, 1e-09, 100), 0.0008055906444532539)
((0.3, 0.5, 1e-11, 100), 0.0050529092438610845)
((0.3, 0.4, 1e-15, 100), 2.9344750026581556e+28)
((0.3, 0.4, 1e-14, 100), 1.588650462771137e+24)
((0.3, 0.5, 0.001, 100), 64.61110828413881)
((0.3, 0.5, 1e-10, 100), 0.00048612398680269184)
((0.3, 0.5, 1e-07, 100), 0.12425825860844164)
((0.3, 0.5, 1e-08, 100), 0.0031790658073990504)
((0.3, 0.5, 1e-05, 100), 2.9236193845055887)
((0.3, 0.5, 1e-06, 100), 0.6450849357350283)
((0.3, 0.5, 1e-15, 100), 2.0719145151190993e+22)
((0.3, 0.5, 0.01, 100), 53.541544914641136)
((0.3, 0.5, 0.1, 100), 107.0958045665645)
((0.3, 0.5, 1e-12, 100), 0.2813693589721451)
((0.3, 0.5, 1e-14, 100), 9.583740408141564e+22)
((0.3, 0.6, 1e-14, 100), 4.996302226048219e+25)
((0.3, 0.6, 1e-13, 100), 17.895717864899353)
((0.3, 0.6, 1e-15, 100), 4.1959205049411756e+27)
((0.3, 0.6, 1e-10, 100), 0.000932866544732073)
((0.3, 0.6, 1e-09, 100), 0.003043460162383445)
((0.3, 0.6, 1e-07, 100), 0.06185888431991183)
((0.3, 0.6, 1e-08, 100), 0.0004888896574464758)
((0.3, 0.6, 1e-06, 100), 0.6718746720061027)
((0.3, 0.6, 1e-05, 100), 2.3007459332665485)
((0.3, 0.6, 0.01, 100), 53.271542998691736)
((0.3, 0.6, 0.0001, 100), 51.47487629111589)
