Estimator: Volterra
Total number of parameters: 1215
Time started: 20240612-091137
Validation parameters: [2000, 500, 100] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: ScaleL2Shift
Normalisation type for targets: None
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 11.880665063858032 seconds.
Estimated time to finish is 142.5679807662964 seconds.
--------------------------------------------------------------------------------
((0.3, 0.3, 0.01, 100), 0.05264032231868067)
((0.3, 0.4, 1e-09, 100), 142765849620960.25)
((0.3, 0.3, 1e-10, 100), 777558193999775.5)
((0.3, 0.3, 1e-07, 100), 0.0654310076544104)
((0.3, 0.3, 1e-05, 100), 0.05507747081550057)
((0.3, 0.3, 1e-09, 100), 38551999230639.53)
((0.3, 0.3, 1e-14, 100), 3.094321282865947e+25)
((0.3, 0.4, 1e-05, 100), 0.047951537605526395)
((0.3, 0.4, 1e-10, 100), 28583082269346.5)
((0.3, 0.4, 1e-11, 100), 2.9048037483094495e+19)
((0.3, 0.4, 0.0001, 100), 0.052231438949015344)
((0.3, 0.4, 1e-08, 100), 9016680782239.611)
((0.3, 0.3, 0.1, 100), 0.05190764709350857)
((0.3, 0.5, 1e-08, 100), 346244668547.2955)
((0.3, 0.4, 0.1, 100), 0.05212940853566389)
((0.3, 0.4, 1e-07, 100), 141244293864.08566)
((0.3, 0.4, 1e-12, 100), 4.331729392469048e+20)
((0.3, 0.3, 1e-08, 100), 46491138735.96202)
((0.3, 0.3, 1e-06, 100), 0.08290794736956517)
((0.3, 0.5, 1e-11, 100), 3.761092053695448e+18)
((0.3, 0.5, 1e-07, 100), 7342830109.896448)
((0.3, 0.6, 1e-13, 100), 2.7808921928395086e+20)
((0.3, 0.5, 1e-10, 100), 15433588058984.303)
((0.3, 0.4, 1e-06, 100), 0.08782630080528774)
((0.3, 0.6, 1e-12, 100), 2.6092098202649133e+20)
((0.3, 0.4, 0.001, 100), 0.05143343478683308)
((0.3, 0.5, 1e-09, 100), 1123097581636733.6)
((0.3, 0.4, 1e-13, 100), 2.5233917931716128e+22)
((0.3, 0.5, 1e-12, 100), 5.860809052162658e+19)
((0.3, 0.5, 1e-13, 100), 4.9860984904339037e+20)
((0.3, 0.5, 1e-06, 100), 0.09525903232086282)
((0.3, 0.5, 1e-05, 100), 0.048002378520784636)
((0.3, 0.5, 0.1, 100), 0.0521166245036081)
((0.3, 0.5, 0.001, 100), 0.053802847650926765)
((0.3, 0.5, 0.01, 100), 0.053630433611345084)
((0.3, 0.4, 1e-14, 100), 2.7004479673464908e+26)
((0.3, 0.5, 0.0001, 100), 0.053599689789586624)
((0.3, 0.6, 1e-11, 100), 3.730154548499561e+19)
((0.3, 0.5, 1e-15, 100), 7.790545286778948e+24)
((0.3, 0.5, 1e-14, 100), 7.051741574067105e+27)
((0.3, 0.4, 1e-15, 100), 2.5302463750475033e+25)
((0.3, 0.6, 1e-14, 100), 9.326374897704241e+23)
((0.3, 0.3, 1e-15, 100), 1.5063039929288269e+25)
((0.3, 0.6, 1e-15, 100), 8.615639707443885e+28)
((0.3, 0.6, 1e-10, 100), 6159166773873343.0)
((0.3, 0.6, 1e-09, 100), 322056512215624.0)
((0.3, 0.6, 1e-07, 100), 3765779327462.5483)
((0.3, 0.6, 1e-08, 100), 26835583874194.957)
((0.3, 0.7, 1e-05, 100), 0.04687924390157122)
((0.3, 0.7, 1e-13, 100), 2.4369552288772687e+23)
((0.3, 0.6, 0.1, 100), 0.052137748065951214)
((0.3, 0.6, 0.01, 100), 0.054497700048004846)
((0.3, 0.7, 1e-11, 100), 5.045399654905422e+19)
((0.3, 0.6, 1e-05, 100), 0.04676257497444412)
((0.3, 0.7, 1e-10, 100), 1771902647156321.5)
((0.3, 0.6, 0.001, 100), 0.05642883011405856)
((0.3, 0.6, 0.0001, 100), 0.05357010734615697)
((0.3, 0.7, 0.001, 100), 0.05846304337615871)
((0.3, 0.7, 0.1, 100), 0.05213406468766143)
((0.3, 0.7, 0.01, 100), 0.055537245200266996)
((0.3, 0.7, 1e-06, 100), 0.11169553599170375)
((0.3, 0.8, 0.001, 100), 0.060906823739051964)
((0.3, 0.7, 1e-07, 100), 7.065597005987828e+17)
((0.3, 0.7, 1e-12, 100), 1.1094515484372756e+20)
((0.3, 0.8, 1e-09, 100), 2002339234717.448)
((0.3, 0.7, 1e-08, 100), 748080442422.0183)
((0.3, 0.8, 1e-07, 100), 331299266344.31635)
((0.3, 0.8, 1e-11, 100), 3.2732946277294413e+21)
((0.3, 0.9, 1e-06, 100), 0.047091056132833084)
((0.3, 0.7, 0.0001, 100), 0.05413668489352182)
((0.3, 0.8, 0.01, 100), 0.05560599096918943)
((0.3, 0.7, 1e-09, 100), 89172234779434.33)
((0.3, 0.8, 1e-13, 100), 2.358006228031765e+20)
((0.3, 0.9, 1e-07, 100), 1915316233461.3555)
((0.3, 0.9, 1e-10, 100), 4699143631009.086)
((0.3, 0.8, 1e-10, 100), 1.0167539607257848e+18)
((0.3, 0.8, 1e-05, 100), 0.049450068809264634)
((0.3, 0.9, 1e-08, 100), 49340694963995.01)
((0.3, 0.8, 1e-08, 100), 10222886464.57062)
((0.3, 0.9, 1e-09, 100), 3784820696617.2437)
((0.3, 0.8, 1e-12, 100), 1.9676349471632665e+21)
((0.3, 0.9, 1e-11, 100), 1.1706346442768844e+16)
((0.3, 0.8, 1e-06, 100), 0.0728308274216902)
((0.3, 0.8, 0.1, 100), 0.05203793632293359)
((0.3, 0.6, 1e-06, 100), 0.10458450039653733)
((0.3, 0.8, 0.0001, 100), 0.05597262755724732)
((0.3, 0.7, 1e-14, 100), 1.2372527945530262e+27)
((0.3, 0.8, 1e-14, 100), 1.88286808395484e+26)
((0.3, 0.9, 1e-14, 100), 1.149521399960139e+26)
((0.3, 0.9, 1e-13, 100), 5.0538966157456166e+20)
((0.3, 0.7, 1e-15, 100), 2.198113113082166e+25)
((0.3, 0.9, 1e-12, 100), 1.7842766000822856e+18)
((0.3, 0.8, 1e-15, 100), 4.918997901739783e+26)
((0.3, 0.9, 1e-15, 100), 2.437334979341028e+27)
((0.3, 0.9, 1e-05, 100), 0.05504190334552369)
((0.4, 0.1, 1e-12, 100), 2.0146405848567026e+19)
((0.4, 0.1, 1e-13, 100), 3.951969712500557e+22)
((0.4, 0.1, 1e-10, 100), 0.06515784992300423)
((0.4, 0.1, 1e-05, 100), 0.049533853840969366)
((0.3, 0.9, 0.0001, 100), 0.060732841393439374)
((0.4, 0.1, 1e-06, 100), 0.060577757063605395)
((0.3, 0.9, 0.01, 100), 0.05392604962814799)
((0.3, 0.9, 0.1, 100), 0.05179747895626805)
((0.3, 0.9, 0.001, 100), 0.06346229000099675)
((0.4, 0.1, 0.0001, 100), 0.049609002447530026)
((0.4, 0.1, 0.001, 100), 0.050088076439102715)
((0.4, 0.2, 1e-05, 100), 0.06721689036388184)
((0.4, 0.2, 1e-09, 100), 4168697791477.3306)
((0.4, 0.1, 1e-11, 100), 8.164637354511342e+16)
((0.4, 0.1, 1e-07, 100), 0.045623494732941125)
((0.4, 0.1, 1e-09, 100), 0.05250803286275667)
((0.4, 0.3, 1e-13, 100), 2.945279805216454e+21)
((0.4, 0.3, 1e-06, 100), 0.05215073142181157)
((0.4, 0.1, 1e-14, 100), 4.112787244177759e+26)
((0.4, 0.2, 1e-13, 100), 2.392873428253683e+22)
((0.4, 0.2, 0.001, 100), 0.04921407516070361)
((0.4, 0.1, 0.1, 100), 0.05106066855156053)
((0.4, 0.3, 1e-09, 100), 3.3124902150986944e+17)
((0.4, 0.3, 1e-11, 100), 5.441915428391148e+18)
((0.4, 0.1, 1e-08, 100), 0.04768783672600736)
((0.4, 0.2, 1e-11, 100), 5.896556807835169e+17)
